ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P142_1,P142_2,P142_3,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P904A,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07796,01,01,1,3,210384002,2395.60961914063,1,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07797,01,01,1,3,210392002,33.8926086425781,1,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07797,02,02,1,3,210392002,24.9333057403564,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2, ,2, , , , , , , , , 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07798,01,01,1,3,210393002,5.13160181045532,1,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07799,01,01,1,3,210383004,35.7702484130859,1,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07800,01,01,1,3,210392003,5.80259132385254,1,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07801,01,01,1,3,210392004,1.00875234603882,1,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07801,02,02,1,3,210392004,8.47548484802246,1,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07801,03,03,1,3,210392004,30.300464630127,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07801,04,04,1,3,210392004,5.97342538833618,1,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
